acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,sensor
-0.23608,-0.02734,0.96924,1.80153,-1.75573,0.25954,MPU1
0.02051,-0.21582,0.9397,-1.58779,-1.64885,-1.0229,MPU2
-0.24731,-0.02856,0.97852,3.12977,-0.39695,0.68702,MPU1
0.01074,-0.21167,0.948,-1.19084,-0.53435,-0.12214,MPU2
-0.24756,-0.02368,0.96094,1.81679,-1.98473,0.0,MPU1
0.01562,-0.22754,0.9751,-0.19847,-1.37405,-0.21374,MPU2
-0.24438,-0.03247,0.98462,2.99237,2.45802,1.16031,MPU1
0.00879,-0.20825,0.94604,-0.25954,0.70229,0.29008,MPU2
-0.24951,-0.02393,0.96973,2.50382,-0.68702,0.54962,MPU1
0.01318,-0.20972,0.93433,-1.55725,-0.48855,-0.07634,MPU2
-0.24658,-0.01514,0.95703,0.82443,-0.79389,0.9771,MPU1
0.00366,-0.21655,0.9585,-1.55725,-2.68702,0.83969,MPU2
-0.25024,-0.021,1.00269,2.79389,0.0,2.27481,MPU1
0.02075,-0.21411,0.96094,-0.53435,-1.12977,0.44275,MPU2
-0.24048,-0.02393,0.97998,3.00763,-2.44275,1.17557,MPU1
0.01245,-0.22168,0.97461,0.90076,-1.0687,1.03817,MPU2
-0.24146,-0.01831,0.97485,4.18321,-0.91603,1.80153,MPU1
0.01147,-0.20557,0.9397,-0.53435,-2.25954,0.12214,MPU2
-0.23999,-0.02393,0.97144,2.71756,-1.81679,1.0229,MPU1
0.00513,-0.21924,0.95752,0.53435,-1.1145,0.82443,MPU2
-0.24634,-0.01172,0.95264,1.41985,0.0916,1.69466,MPU1
0.00659,-0.21094,0.96094,0.42748,-0.27481,1.31298,MPU2
-0.24341,-0.02173,0.99219,4.44275,3.67939,2.99237,MPU1
0.0249,-0.19824,0.93823,-1.0229,0.65649,1.12977,MPU2
-0.23926,-0.00415,0.98022,0.94656,-1.89313,0.91603,MPU1
0.02759,-0.21069,0.96313,-1.49618,-1.67939,-0.42748,MPU2
-0.23413,-0.01392,0.96753,1.70992,1.81679,0.36641,MPU1
0.00977,-0.20898,0.93335,-4.22901,-0.94656,0.39695,MPU2
-0.24951,-0.02441,0.98193,-0.19847,-3.12977,0.29008,MPU1
0.0144,-0.21484,0.9502,-4.0,-0.90076,0.24427,MPU2
-0.24634,-0.02515,0.96826,-0.99237,-0.12214,-0.21374,MPU1
0.00879,-0.21997,0.9563,-3.46565,-0.96183,-0.1374,MPU2
-0.25146,-0.02832,0.97437,-0.96183,-0.22901,0.07634,MPU1
0.01221,-0.21924,0.96069,-2.0,-0.85496,-0.59542,MPU2
-0.25195,-0.02124,0.98535,2.45802,0.18321,1.34351,MPU1
0.00586,-0.21313,0.95923,-1.08397,-0.32061,1.03817,MPU2
-0.24902,-0.01904,0.97095,1.45038,-0.07634,1.40458,MPU1
0.00806,-0.21167,0.96631,-1.80153,0.32061,1.52672,MPU2
-0.25732,-0.01587,0.98145,1.28244,-0.22901,2.47328,MPU1
0.01294,-0.21777,0.96289,-1.00763,-0.51908,2.06107,MPU2
-0.24146,-0.02832,0.9856,1.89313,0.1374,2.42748,MPU1
0.01025,-0.22583,0.97925,1.40458,-1.1145,2.07634,MPU2
-0.25098,-0.03418,0.98608,3.45038,1.70992,2.83969,MPU1
0.02466,-0.21167,0.94458,-0.71756,1.49618,1.34351,MPU2
-0.23584,-0.02075,0.98462,3.26718,0.9771,1.29771,MPU1
0.01685,-0.20459,0.93774,-1.14504,-1.17557,0.16794,MPU2
-0.23364,-0.02222,0.96118,1.84733,0.19847,0.39695,MPU1
0.01953,-0.21021,0.95093,-2.0458,-0.29008,-0.32061,MPU2
-0.25,-0.01367,0.96851,0.56489,-0.21374,-0.27481,MPU1
0.00781,-0.20801,0.9502,-3.0229,-0.01527,-0.18321,MPU2
-0.2688,-0.00977,0.97852,-0.12214,-0.16794,0.50382,MPU1
0.0061,-0.21045,0.9646,-3.49618,-0.41221,0.99237,MPU2
-0.25513,-0.0127,0.9751,-0.18321,0.44275,1.40458,MPU1
-0.00342,-0.21338,0.96484,-2.07634,-0.51908,2.29008,MPU2
-0.25513,-0.02661,0.97778,0.45802,-1.80153,2.51908,MPU1
0.00757,-0.21826,0.95117,-3.16031,-1.41985,1.87786,MPU2
-0.25757,-0.03418,0.97241,0.19847,0.30534,2.87023,MPU1
0.0022,-0.2146,0.94873,-2.21374,-1.58779,2.33588,MPU2
-0.24878,-0.03296,0.98169,1.28244,0.68702,2.76336,MPU1
-0.00391,-0.21387,0.93115,-3.78626,-1.92366,3.25191,MPU2
-0.26514,-0.03198,0.97876,-1.12977,-1.72519,3.63359,MPU1
0.01733,-0.23975,0.96973,-2.42748,-2.35115,3.22137,MPU2
-0.25049,-0.03857,0.98291,0.96183,-2.39695,3.98473,MPU1
0.0293,-0.22974,0.96436,-0.0916,-1.52672,2.8855,MPU2
-0.23438,-0.03638,0.97876,1.98473,1.05344,2.74809,MPU1
0.04541,-0.21338,0.94922,-0.24427,2.67176,1.00763,MPU2
-0.25024,-0.03198,0.95776,2.0,-0.27481,1.08397,MPU1
0.0105,-0.23193,0.95898,1.89313,1.00763,4.53435,MPU2
-0.25464,-0.01099,0.91235,-6.32061,0.85496,0.80916,MPU1
0.01953,-0.19238,0.87793,-17.66412,-0.67176,3.17557,MPU2
-0.23071,-0.04639,0.96558,-6.79389,5.1145,-0.51908,MPU1
0.00684,-0.22754,0.94043,-10.24428,9.34351,5.31298,MPU2
-0.25391,-0.04419,1.01025,-13.61832,-2.65649,0.51908,MPU1
-0.0813,-0.3811,1.25757,-4.51908,-12.67176,22.61069,MPU2
-0.54443,-0.20483,1.74805,44.99237,49.69466,51.09924,MPU1
0.00488,-0.56299,2.10059,85.75572,11.31298,46.64122,MPU2
-0.6543,-0.37695,2.87158,157.25191,-43.66412,64.50381,MPU1
0.03247,-0.99902,2.91895,264.42749,-69.17558,4.77863,MPU2
-0.61963,-0.81299,2.73193,363.92368,-68.0458,90.01527,MPU1
-0.19971,-1.4043,1.84155,444.83969,-69.80153,-22.27481,MPU2
-0.8479,-1.21338,0.927,473.14505,-141.41985,118.56489,MPU1
