acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,sensor
-0.26221,-0.0708,1.00439,0.61069,0.56489,1.70992,MPU1
-0.00854,-0.2915,0.97241,0.96183,0.61069,2.38168,MPU2
-0.24634,-0.07422,0.98633,3.70992,0.18321,3.96947,MPU1
0.00171,-0.26221,0.93921,-0.03053,-2.68702,1.77099,MPU2
-0.23926,-0.06592,0.99365,4.22901,-2.16794,2.8855,MPU1
-0.00195,-0.27466,0.95435,1.20611,-3.40458,0.9771,MPU2
-0.24609,-0.06714,0.97485,3.35878,-2.47328,2.24427,MPU1
-0.00708,-0.28101,0.94995,1.03817,-3.26718,0.91603,MPU2
-0.25122,-0.07422,0.99365,3.8626,-3.81679,2.68702,MPU1
0.0061,-0.27002,0.94556,1.17557,-2.77863,1.37405,MPU2
-0.22607,-0.06079,0.9812,5.00763,-2.65649,1.52672,MPU1
0.00244,-0.26025,0.94775,2.42748,-4.24427,-0.56489,MPU2
-0.22656,-0.05811,0.98193,5.17557,-4.36641,0.67176,MPU1
0.01709,-0.25293,0.93677,1.61832,-2.8855,-2.06107,MPU2
-0.23486,-0.04321,0.95361,4.29008,-1.49618,-0.50382,MPU1
-0.00244,-0.24487,0.92847,-1.49618,-5.45038,-2.16794,MPU2
-0.24634,-0.0564,1.00269,5.60305,-1.75573,0.87023,MPU1
-0.00586,-0.24316,0.93433,1.51145,-1.40458,-0.56489,MPU2
-0.2373,-0.04199,0.96582,3.29771,-1.96947,0.53435,MPU1
-0.00879,-0.25928,0.95166,-0.80916,-1.80153,0.25954,MPU2
-0.24707,-0.0481,0.9856,2.8855,-1.17557,1.63359,MPU1
-0.00806,-0.25537,0.93799,-2.59542,-3.38931,1.8626,MPU2
-0.24219,-0.04565,0.97974,1.49618,-3.1145,3.52672,MPU1
0.02441,-0.25854,0.95093,-2.36641,-3.61832,2.96183,MPU2
-0.19873,-0.05054,0.98218,3.34351,-1.60305,2.47328,MPU1
0.03467,-0.24341,0.93213,0.0916,-1.26718,-0.27481,MPU2
-0.20312,-0.04395,0.96362,3.12977,-0.67176,-0.53435,MPU1
0.0271,-0.24438,0.92188,-1.1145,0.9771,-1.67939,MPU2
-0.23535,-0.04175,0.9541,2.9771,2.12214,-0.62595,MPU1
0.00342,-0.24658,0.93188,-2.27481,2.25954,-0.21374,MPU2
-0.23145,-0.03345,0.93774,-0.82443,2.9771,-0.10687,MPU1
0.01685,-0.25757,0.96851,-3.05344,2.90076,0.48855,MPU2
-0.23706,-0.03589,0.98975,0.06107,1.40458,0.67176,MPU1
0.01172,-0.24097,0.96484,-2.94656,-0.56489,-0.36641,MPU2
-0.23755,-0.03857,1.01489,1.83206,-0.67176,-0.18321,MPU1
-0.00317,-0.27539,1.00586,1.74046,-0.65649,0.36641,MPU2
-0.24023,-0.05591,1.02002,6.24427,-1.55725,1.89313,MPU1
0.03223,-0.27393,0.99292,5.43511,-0.12214,-1.0229,MPU2
-0.22046,-0.04614,0.98438,9.80153,0.67176,0.71756,MPU1
0.0127,-0.23975,0.9187,4.27481,1.89313,-1.58779,MPU2
-0.23022,-0.0249,0.94922,6.35115,2.48855,-0.1374,MPU1
-0.02344,-0.22534,0.8877,-0.30534,3.05344,1.0229,MPU2
