acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,sensor
-0.26221,-0.0708,1.00439,0.61069,0.56489,1.70992,MPU1
-0.2251,0.19336,0.97363,1.64885,1.20611,0.38168,MPU1
0.05884,-0.06689,0.97583,-1.27481,-1.28244,0.27481,MPU2
-0.23169,0.18848,0.95508,0.15267,-1.17557,0.8855,MPU1
0.07422,-0.06836,0.98804,-1.60305,-1.22901,0.27481,MPU2
-0.23364,0.19019,0.97607,2.03053,-1.17557,0.44275,MPU1
0.08203,-0.05811,0.96826,-1.23664,-0.39695,-0.66412,MPU2
-0.22729,0.1958,0.95703,1.48092,-1.32824,-0.48855,MPU1
0.07959,-0.05835,0.97388,-1.81679,-2.29771,-1.70992,MPU2
-0.23022,0.1958,0.96753,2.91603,-1.0229,-0.32061,MPU1
0.06348,-0.05103,0.96655,-1.48855,-0.74809,-0.84733,MPU2
-0.23999,0.19922,0.95093,1.40458,-0.41221,0.58015,MPU1
0.06152,-0.05493,0.98291,-0.66412,-2.41221,0.00763,MPU2
-0.2334,0.20605,0.94214,1.31298,-0.51908,1.9084,MPU1
0.06763,-0.06226,0.95483,-2.14504,0.57252,1.51145,MPU2
-0.23071,0.19385,0.9585,0.18321,-0.12214,1.93893,MPU1
0.07642,-0.06738,0.9707,-2.34351,-1.38931,1.66412,MPU2
-0.21777,0.19507,0.96143,0.36641,0.61069,1.48092,MPU1
0.07666,-0.06372,0.96851,-3.0458,1.08397,1.78626,MPU2
-0.22144,0.18433,0.9668,0.36641,0.33588,1.40458,MPU1
0.08643,-0.06885,0.96826,-2.51908,-0.56489,0.82443,MPU2
-0.21875,0.18115,0.97607,1.12977,1.23664,0.87023,MPU1
0.08789,-0.06641,0.96582,-2,0.22901,-0.1145,MPU2
-0.21802,0.17896,0.95044,0.68702,0.53435,-0.33588,MPU1
0.0752,-0.07007,0.94336,-2.87023,1.73282,-0.23664,MPU2
-0.21191,0.18164,0.9104,-2.44275,2.99237,-1.46565,MPU1
0.0686,-0.05615,0.90894,-10.05344,1.78626,-0.55725,MPU2
-0.22339,0.18555,0.93457,-7.0687,5.28244,-2.79389,MPU1
0.06909,-0.05859,0.96411,-11.54962,6.50382,0.69466,MPU2
-0.22583,0.18286,0.98633,-8.18321,4.30534,-4.45802,MPU1
0.06641,-0.08374,1.01318,-11.85496,2.76336,-1.76336,MPU2
-0.30811,0.18457,1.09302,-4.74809,-0.15267,-1.03817,MPU1
