acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,sensor
-0.21167,-0.11523,1.05054,-3.87786,-5.00763,-11.12977,MPU1
-0.00977,-1.09668,-0.48438,146.67175,-5.34351,20.03053,MPU2
-0.63452,-0.0769,0.88892,19.45038,-78.58015,-12.76336,MPU1
-0.59839,-0.40454,-0.78711,67.49619,31.61832,-198.33588,MPU2
-2.58838,-0.46729,0.84937,-11.93893,-205.43512,165.41985,MPU1
-1.83667,-0.90308,-2.21021,150.33588,-268.53436,-270.51907,MPU2
-1.92993,-1.5625,0.42603,-41.29771,-269.26718,500.25955,MPU1
1.17554,-0.78613,-1.25464,221.58778,-326.30533,-305.67938,MPU2
0.9812,-1.73682,0.96948,122.62595,-201.84734,426.97711,MPU1
1.6543,0.17725,-0.69653,116.76336,-273.78625,-108.42748,MPU2
2.12646,-0.84497,0.20337,54.07634,-117.83206,158.45801,MPU1
2.12817,-0.11621,0.60474,104.48855,-87.89313,-133.17557,MPU2
3.03394,-0.6228,-0.09888,-12.33588,21.92366,-33.51145,MPU1
0.62109,-0.63062,-0.36304,-88.61069,9.45038,25.98473,MPU2
-0.61377,-0.23535,1.14673,3.57252,19.0229,23.96947,MPU1
0.42676,-0.72803,-0.57861,-0.06107,-24.16794,1.78626,MPU2
0.56909,-0.23389,0.97632,6.18321,10.9771,6.83969,MPU1
0.61304,-0.92407,-0.22754,47.17557,0.87023,31.96947,MPU2
0.3064,-0.18237,0.78076,-10.62595,8.9313,1.87786,MPU1
0.4668,-0.8938,-0.31396,-6.59542,-6.71756,20.56489,MPU2
0.25439,-0.29297,1.04932,8.27481,13.8626,6.82443,MPU1
0.57178,-0.44458,-0.65845,-104.10687,-19.46565,-10.15267,MPU2
0.33374,-0.24268,1.00879,4.29008,18.36641,-8.54962,MPU1
0.52954,-0.87817,-0.41431,27.35878,-1.63359,25.34351,MPU2
0.15283,-0.20361,0.93555,-1.87786,7.9084,15.40458,MPU1
0.49023,-0.92676,-0.37598,5.8626,-0.47328,14.41221,MPU2
0.3269,-0.21631,0.95923,8.53435,7.38931,-7.14504,MPU1
0.48657,-0.8374,-0.3396,20.82443,9.46565,19.20611,MPU2
0.39087,-0.24438,0.86743,-5.37405,15.61832,-17.20611,MPU1
0.40552,-0.90576,-0.35376,1.64885,3.93893,23.05343,MPU2
0.15356,-0.25098,0.97192,-0.99237,6.59542,4.68702,MPU1
0.47314,-0.77637,-0.45483,-13.72519,5.83206,9.0687,MPU2
0.22266,-0.2395,0.95654,-6.24427,5.46565,-7.72519,MPU1
0.38574,-1.03491,-0.30127,15.92366,0.58015,16.76336,MPU2
0.22339,-0.2019,0.85815,1.77099,1.83206,-1.8626,MPU1
0.46655,-0.90869,-0.31787,-3.9084,5.8626,11.61832,MPU2
0.33008,-0.2417,1.00269,-1.05344,20.18321,-23.38931,MPU1
0.42261,-0.88794,-0.39648,-6.24427,0.83969,20.9771,MPU2
0.27075,-0.21411,0.90869,-17.25191,24.0458,-15.45038,MPU1
0.41724,-1.00146,-0.2666,16.91603,0.91603,14.51908,MPU2
0.21899,-0.24512,0.96753,14.54962,7.23664,-2.22901,MPU1
0.41479,-0.80103,-0.43628,-10.16794,0.68702,0.91603,MPU2
0.25415,-0.21606,0.94531,-4.50382,0.67176,-3.58779,MPU1
0.41943,-1.00244,-0.32593,24.73282,-0.42748,9.58779,MPU2
0.24487,-0.22803,0.93774,3.46565,-5.52672,-0.0916,MPU1
0.4436,-0.84106,-0.42554,-28.39695,-3.43511,-6.74809,MPU2
0.26489,-0.26099,0.98682,5.48092,6.58015,-5.0687,MPU1
0.36475,-0.93042,-0.36133,14.50382,5.0229,11.69466,MPU2
0.22998,-0.23706,0.81689,-21.48092,5.55725,10.19847,MPU1
0.40967,-1.0,-0.22559,-0.48855,-0.85496,6.71756,MPU2
0.21533,-0.26929,0.99878,2.07634,12.19847,-2.32061,MPU1
0.47998,-0.79663,-0.43701,-8.90076,-6.1374,-4.59542,MPU2
0.27393,-0.26392,0.85571,-12.85496,-1.1145,-0.64122,MPU1
0.4248,-0.98071,-0.28125,-12.18321,8.19847,5.29771,MPU2
0.15015,-0.27368,0.99048,8.24428,7.74046,-8.83969,MPU1
0.49878,-0.79883,-0.43677,-3.49618,4.0,1.74046,MPU2
0.28394,-0.26514,0.9187,-3.77099,4.76336,1.58779,MPU1
0.38965,-0.9895,-0.31616,15.48092,-5.93893,9.17557,MPU2
0.12866,-0.25439,0.96948,12.29008,3.0229,-2.1374,MPU1
0.41504,-0.82642,-0.45239,-0.25954,-4.10687,5.46565,MPU2
0.20386,-0.2644,0.94458,2.22901,-1.98473,-0.51908,MPU1
0.38721,-1.00244,-0.30127,59.34351,8.15267,19.93893,MPU2
0.2229,-0.25366,0.96045,5.32824,5.87786,-5.20611,MPU1
0.33228,-0.82324,-0.39966,-68.16794,-8.19847,-10.0916,MPU2
0.19824,-0.27295,1.05371,5.77099,-0.33588,-1.17557,MPU1
0.33228,-1.04663,-0.25781,94.38168,-5.8626,29.75573,MPU2
0.12036,-0.24756,0.89258,-0.74809,8.62595,7.8626,MPU1
0.36475,-1.00366,-0.23511,-17.45038,-2.06107,1.00763,MPU2
0.16846,-0.26147,0.96826,5.05344,5.40458,-5.0687,MPU1
0.35278,-1.02295,-0.25098,62.67176,-7.61832,19.03817,MPU2
0.09155,-0.23657,0.84937,-11.23664,-2.62595,5.23664,MPU1
0.31445,-1.05615,-0.17798,-9.75572,4.19847,0.76336,MPU2
0.2168,-0.25342,0.99243,8.03053,5.00763,-9.96947,MPU1
0.36792,-0.9707,-0.28174,13.58779,-0.15267,5.87786,MPU2
0.19116,-0.2583,0.9668,4.87023,0.94656,-0.94656,MPU1
0.3606,-0.94873,-0.28687,-2.07634,1.23664,-0.0458,MPU2
0.22852,-0.25122,0.90869,-0.01527,3.32824,-2.38168,MPU1
0.3313,-0.9646,-0.25854,4.16794,-4.83969,7.29771,MPU2
0.19409,-0.26978,0.979,4.80916,3.98473,-3.28244,MPU1
0.38184,-0.9209,-0.33472,-7.41985,7.60305,-0.87023,MPU2
0.18433,-0.23682,0.94336,2.36641,0.61069,-0.29008,MPU1
0.37085,-0.97559,-0.2666,-1.0687,0.15267,0.73282,MPU2
0.17627,-0.24121,0.96631,4.68702,-1.35878,-0.27481,MPU1
0.3667,-0.93091,-0.31299,-3.23664,-1.75573,2.8855,MPU2
0.22241,-0.24878,0.95532,0.71756,4.24427,0.79389,MPU1
0.37476,-0.94214,-0.31885,-14.03053,2.35115,-1.12977,MPU2
0.15308,-0.26147,0.97412,4.0916,-2.06107,4.41221,MPU1
0.46118,-0.87109,-0.37109,-11.40458,4.24427,-3.9542,MPU2
0.19312,-0.25317,0.9707,4.85496,-3.05344,0.61069,MPU1
0.35107,-0.95801,-0.29272,8.15267,-6.41221,5.78626,MPU2
0.17456,-0.23535,0.9353,4.24427,-0.22901,-2.50382,MPU1
0.37329,-0.94238,-0.32861,0.45802,1.40458,-0.9771,MPU2
0.1814,-0.23975,0.96387,5.49618,-0.74809,-0.48855,MPU1
0.39526,-0.93066,-0.28687,-7.75573,9.72519,-1.08397,MPU2
0.19141,-0.2356,0.89209,-3.45038,-0.35115,-1.67939,MPU1
0.33765,-0.97339,-0.28589,8.07634,-8.80916,4.91603,MPU2
