acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,sensor
-0.11499,0.19116,0.97168,3.16031,0.35115,-0.87023,MPU1
-0.14917,-0.20752,0.9231,-3.00763,-1.00763,0.47328,MPU2
-0.12573,0.18213,0.97559,0.42748,0.0458,0.64122,MPU1
-0.13867,-0.22266,0.93896,-0.1374,-1.08397,0.25954,MPU2
-0.13257,0.20142,0.98071,2.07634,-1.48092,1.70992,MPU1
-0.12158,-0.20459,0.91699,-3.48092,0.54962,0.59542,MPU2
-0.11792,0.19019,0.96924,-1.23664,-1.84733,0.07634,MPU1
-0.1272,-0.21631,0.93677,-4.45802,-4.68702,-1.32824,MPU2
-0.11523,0.18823,0.9917,1.80153,1.0687,-0.07634,MPU1
-0.13184,-0.2063,0.92212,-2.27481,-0.10687,-0.71756,MPU2
-0.11816,0.19116,0.98682,0.10687,-2.30534,-1.69466,MPU1
-0.14233,-0.22241,0.94263,-4.51908,-3.25191,-1.69466,MPU2
-0.13306,0.19629,1.00757,2.29008,2.03053,-0.45802,MPU1
-0.15576,-0.22437,0.95288,-0.15267,-0.9771,0.1374,MPU2
-0.14038,0.19312,0.97412,0.25954,-0.51908,1.46565,MPU1
-0.13208,-0.20947,0.9397,-2.48855,-0.70229,-0.33588,MPU2
-0.14233,0.19702,0.98633,1.09924,-2.10687,2.24427,MPU1
-0.13306,-0.21777,0.94922,-3.64885,-0.64122,1.51145,MPU2
-0.12085,0.18945,0.99878,-0.22901,-1.87786,2.45802,MPU1
-0.12036,-0.19629,0.94287,-3.72519,-3.46565,0.27481,MPU2
-0.1106,0.18555,0.98193,-0.06107,-2.48855,0.56489,MPU1
-0.13062,-0.22266,0.95801,-1.75573,1.14504,0.22901,MPU2
-0.11328,0.19141,0.96143,0.29008,-0.22901,-0.03053,MPU1
-0.13306,-0.21631,0.93872,-3.19084,-0.50382,-0.58015,MPU2
-0.13599,0.18945,0.99487,2.22901,1.75573,1.31298,MPU1
-0.1416,-0.22461,0.93848,-1.00763,-2.10687,0.54962,MPU2
-0.14404,0.1875,0.98315,0.41221,-1.19084,2.44275,MPU1
-0.12134,-0.22681,0.95728,-2.24427,2.58015,1.81679,MPU2
-0.12427,0.19116,0.99463,3.51145,0.0,2.0,MPU1
-0.10815,-0.20825,0.9397,-1.87786,-0.70229,-0.42748,MPU2
-0.11304,0.19165,0.97949,1.74046,2.9771,-0.82443,MPU1
-0.14282,-0.22266,0.93433,-0.32061,-2.33588,-0.42748,MPU2
-0.1311,0.19604,0.98438,3.05344,-0.45802,2.96183,MPU1
-0.13086,-0.22095,0.94434,-0.33588,2.96183,1.49618,MPU2
-0.12451,0.19189,0.99072,3.12977,-0.33588,0.42748,MPU1
-0.13159,-0.21729,0.93384,0.76336,-3.26718,-0.1374,MPU2
-0.12939,0.18823,0.96948,2.0,2.24427,1.41985,MPU1
-0.13013,-0.21973,0.95557,0.12214,1.92366,0.41221,MPU2
-0.13184,0.19189,0.97119,3.03817,-1.60305,1.41985,MPU1
-0.12061,-0.20703,0.91943,-1.38931,-0.10687,0.01527,MPU2
-0.12378,0.19214,0.98364,2.27481,2.06107,-0.18321,MPU1
-0.14453,-0.22974,0.95215,-0.16794,0.39695,0.64122,MPU2
-0.13843,0.2019,0.96826,0.76336,0.12214,1.66412,MPU1
-0.1333,-0.21045,0.92285,-2.74809,1.92366,0.71756,MPU2
-0.13428,0.19897,0.96973,0.35115,-0.44275,0.36641,MPU1
-0.15405,-0.21655,0.94727,-3.98473,-2.32061,1.8626,MPU2
-0.11914,0.18481,0.98657,0.35115,0.9313,2.54962,MPU1
-0.13062,-0.22852,0.96582,-1.31298,-0.12214,0.58015,MPU2
-0.13867,0.19873,0.99829,1.8626,-1.63359,3.83206,MPU1
-0.12036,-0.20581,0.9458,-1.0229,-0.12214,0.68702,MPU2
-0.10962,0.19019,0.99243,3.19084,0.68702,0.03053,MPU1
-0.13647,-0.21606,0.927,-1.81679,-2.47328,-0.16794,MPU2
-0.13257,0.19092,0.98828,2.9771,-0.71756,1.22137,MPU1
-0.14282,-0.23389,0.95215,1.16031,1.38931,0.85496,MPU2
-0.14282,0.19507,0.95972,0.99237,-2.62595,3.17557,MPU1
-0.12549,-0.18774,0.93286,-3.63359,-2.53435,0.79389,MPU2
-0.11182,0.18628,0.9917,1.14504,-0.56489,0.32061,MPU1
-0.12354,-0.21997,0.91748,-6.16794,-2.62595,-0.79389,MPU2
-0.12744,0.19165,0.97729,1.03817,0.53435,0.0916,MPU1
-0.1416,-0.22314,0.93701,-5.8626,-0.39695,1.57252,MPU2
-0.12598,0.18481,0.99487,-0.24427,-1.22137,1.78626,MPU1
-0.13232,-0.20435,0.93262,-22.53435,-3.37405,-1.00763,MPU2
