acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,sensor
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-0.04443,0.05542,1.15356,-9.03817,6.59542,-9.64886,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-0.01831,0.04468,1.03052,-1.49618,4.36641,-2.1374,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-0.17163,0.03442,1.05615,-2.62595,4.07634,-5.28244,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-0.18188,0.04956,1.00415,-9.31298,0.59542,-8.51908,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-0.29175,0.04272,0.94556,-5.23664,-3.38931,0.76336,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-0.17334,-0.01343,1.01978,8.10687,-0.38168,-1.54198,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-0.12988,-0.01685,0.88306,-4.61069,2.21374,-9.34351,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-0.08887,-0.00879,1.01343,1.60305,1.46565,-7.1145,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
0.03467,-0.0603,1.11475,9.57252,9.52672,10.74809,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
1.44995,-0.47656,1.92798,115.93893,54.45802,-126.58015,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
2.1145,-1.58936,1.8833,239.08397,53.63359,-485.93893,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-0.05127,-2.28735,0.48145,204.53435,-25.66412,-500.27481,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-1.88013,-1.59521,0.54541,78.24428,-75.05344,-413.75574,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-2.17529,-0.83765,0.76221,35.0687,-54.54962,-150.35115,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-0.80664,-0.51074,0.70654,51.61832,-93.75572,-33.23664,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-0.59375,-0.25488,0.35449,-26.74809,-9.26718,-17.80153,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-0.55591,-0.15576,1.01953,-3.37405,16.62595,-35.0229,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-0.62158,-0.14575,0.78638,-7.45038,-0.24427,-9.37405,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-0.58496,-0.06055,1.05054,-9.9542,-5.40458,30.33588,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
-0.25537,-0.04028,0.96387,1.64885,-4.44275,20.47328,MPU1
0.0,0.0,0.0,0.0,0.0,0.0,MPU2
