sensor,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
MPU1,-34.22901,-36.19847,15.32824,-0.13281,-0.52295,0.94702
MPU2,1.37405,-2.82443,-0.27481,0.10962,-0.10547,0.91528
MPU1,-0.62595,-19.66412,18.22901,-0.38794,-0.65967,0.83276
MPU2,-2.35115,-1.41985,1.52672,0.08154,-0.08691,1.00098
MPU1,6.15267,-6.48855,-3.67939,-0.30713,-0.55493,0.77612
MPU2,-1.92366,-0.64122,2.44275,0.14307,-0.10669,0.93188
MPU1,46.09160,-3.17557,-9.40458,-0.24219,-0.61255,0.81689
MPU2,-6.12214,2.30534,2.19847,0.10718,-0.09375,1.00073
MPU1,31.05343,44.04580,-18.71756,-0.33789,-0.48071,0.63745
MPU2,-4.77863,3.43511,1.35878,0.14233,-0.10181,0.98853
MPU1,21.92366,21.90840,-22.44275,-0.35181,-0.46899,0.73633
MPU2,-3.40458,0.15267,1.32824,0.11377,-0.11304,0.93188
MPU1,-0.50382,21.95420,-9.03817,-0.26831,-0.50537,0.73047
MPU2,-2.67176,-1.84733,-0.65649,0.09839,-0.10034,0.99609
MPU1,-14.04580,-4.39695,-8.01527,-0.37402,-0.48145,0.74097
MPU2,2.94656,-3.22137,-1.83206,0.15039,-0.13110,0.92603
MPU1,-59.26717,-26.73282,71.86259,-0.48462,-0.44946,0.55933
MPU2,-3.92366,0.39695,-3.11450,0.09131,-0.09521,1.01196
MPU1,-54.70229,-54.00000,-13.08397,-0.23389,-0.57861,0.83789
MPU2,0.15267,1.08397,1.70992,0.15430,-0.14160,0.90088
MPU1,0.27481,-7.49618,3.28244,-0.33130,-0.62646,0.81201
MPU2,-3.74046,-5.81679,1.16031,0.06055,-0.09106,1.01440
MPU1,19.81679,-11.34351,0.53435,-0.36499,-0.64038,0.80615
MPU2,1.32824,-0.85496,7.09924,0.11963,-0.13623,0.97681
MPU1,56.24427,42.27481,-15.20611,-0.13208,-0.53735,0.81177
MPU2,-1.46565,0.67176,1.35878,0.10913,-0.09277,0.97925
MPU1,44.44275,22.07634,-4.19847,-0.40308,-0.53906,0.75537
