acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,sensor
-0.23975,0.20093,0.94531,3.80153,-4.77863,3.78626,MPU1
-0.03735,-0.1604,0.96484,1.19084,-0.22901,1.89313,MPU2
-0.229,0.19312,0.97437,5.98473,0.0458,2.64122,MPU1
-0.04712,-0.15649,0.94897,1.78626,-4.38168,0.25954,MPU2
-0.2373,0.20654,0.94482,3.63359,-0.77863,1.63359,MPU1
-0.03882,-0.16895,0.98145,1.93893,0.24427,1.77099,MPU2
-0.24023,0.20215,0.96631,5.61832,-0.15267,3.22137,MPU1
-0.03418,-0.1499,0.94897,0.53435,2.0458,0.76336,MPU2
-0.23438,0.19971,0.94336,2.10687,-1.05344,0.74809,MPU1
-0.05029,-0.15015,0.95117,-0.77863,-2.65649,-0.18321,MPU2
-0.23169,0.19897,0.94727,2.67176,0.80916,0.65649,MPU1
-0.0564,-0.14697,0.93506,-2.45802,0.22901,0.32061,MPU2
-0.23608,0.21021,0.93799,-0.87023,-1.72519,0.25954,MPU1
-0.05444,-0.14795,0.95557,-2.80916,-1.20611,-0.07634,MPU2
-0.25903,0.20605,0.96753,1.57252,-1.57252,0.77863,MPU1
-0.07397,-0.15356,0.96924,-1.70992,-2.10687,0.90076,MPU2
-0.24854,0.20728,0.97778,3.00763,0.39695,1.32824,MPU1
-0.05835,-0.15332,0.95752,-1.51145,-0.91603,1.9542,MPU2
-0.23608,0.19873,0.95923,1.9084,-0.58015,2.54962,MPU1
-0.05322,-0.15942,0.97388,1.0229,0.01527,1.87786,MPU2
-0.23535,0.20776,0.94043,1.48092,2.38168,2.0,MPU1
-0.04541,-0.14941,0.94312,-1.23664,0.24427,0.79389,MPU2
-0.24243,0.20752,0.95874,2.9313,0.74809,1.41985,MPU1
-0.05225,-0.1582,0.94946,-2.41221,-3.81679,0.41221,MPU2
-0.23926,0.19678,0.96875,1.0229,0.33588,1.29771,MPU1
-0.06372,-0.15356,0.96338,-2.30534,1.83206,2.0,MPU2
-0.26562,0.20825,0.96362,1.34351,-0.56489,2.24427,MPU1
-0.05688,-0.15039,0.96973,-1.84733,-3.98473,1.41985,MPU2
-0.23071,0.2063,0.96069,2.24427,3.00763,1.81679,MPU1
-0.03906,-0.15161,0.96143,-0.29008,-1.75573,0.33588,MPU2
