acce_x,acce_y,acce_z,gyro_x,gyro_y,gyro_z,sensor
0.17163,-0.14307,0.95557,-9.34351,-4.16794,5.48092,MPU2
-0.375,0.17163,0.93945,-0.41221,-0.48855,15.43511,MPU1
0.20752,-0.11865,1.00415,-2.59542,1.0687,-0.67176,MPU2
-0.34253,0.20435,0.88574,0.73282,-3.93893,12.39695,MPU1
0.19482,-0.1228,0.93359,-10.8855,1.16031,-0.12214,MPU2
-0.34521,0.20483,0.93408,7.92366,1.31298,-1.32824,MPU1
0.08252,-0.13354,0.87964,-6.32061,-14.16794,5.29771,MPU2
-0.39233,0.21069,0.86182,2.79389,1.08397,14.41221,MPU1
0.22021,-0.13721,0.90283,-6.41221,-0.61069,-2.8855,MPU2
-0.34033,0.20581,0.91846,1.25191,0.9313,2.80916,MPU1
0.17261,-0.13647,0.95312,-5.87786,-0.01527,-0.07634,MPU2
-0.37549,0.20068,0.9209,3.19084,-2.35115,6.48855,MPU1
0.22266,-0.14575,0.96069,-2.67176,-1.84733,-3.58779,MPU2
-0.35767,0.21118,0.90332,-4.0916,-1.22137,1.9084,MPU1
0.16919,-0.13232,0.90796,-11.40458,-0.67176,-6.01527,MPU2
-0.37817,0.21777,0.89282,0.32061,-2.01527,-0.0916,MPU1
0.19458,-0.14331,0.95508,-6.1374,1.60305,-1.43511,MPU2
-0.34424,0.21899,0.94409,4.56489,-3.9542,-3.51145,MPU1
0.1792,-0.16577,0.98315,-0.29008,-3.19084,0.24427,MPU2
-0.38477,0.20557,0.89624,1.78626,6.07634,-0.18321,MPU1
0.18677,-0.13794,0.91528,-1.45038,-5.0229,-2.21374,MPU2
-0.39771,0.21411,0.91187,9.26718,-1.89313,4.76336,MPU1
0.19434,-0.13208,0.96973,4.99237,-3.51145,1.23664,MPU2
-0.44385,0.22607,0.90674,4.58015,-1.64885,16.8855,MPU1
0.20337,-0.13306,0.90332,-0.65649,-4.0916,-0.54962,MPU2
-0.35449,0.22266,0.87573,-2.07634,0.85496,0.38168,MPU1
0.18726,-0.14355,0.97729,1.0229,-2.9313,1.46565,MPU2
-0.42993,0.23413,0.90894,3.05344,3.28244,11.9084,MPU1
0.19946,-0.14209,0.94092,2.56489,1.29771,0.35115,MPU2
-0.35083,0.23413,0.89868,-0.80916,-2.0,1.92366,MPU1
0.21558,-0.12671,0.92432,-4.62595,-2.24427,-2.29008,MPU2
-0.38916,0.22461,0.91113,4.22901,-0.51908,2.50382,MPU1
0.18457,-0.12866,0.91772,-4.0,-1.26718,-1.54198,MPU2
-0.36475,0.23291,0.90845,1.20611,-0.32061,1.34351,MPU1
0.20654,-0.13062,0.92163,-4.18321,-1.81679,-0.9771,MPU2
-0.35107,0.21191,0.89185,3.51145,-0.96183,-0.1374,MPU1
0.22241,-0.13477,0.95361,-0.07634,2.65649,-2.73282,MPU2
