sensor,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
MPU2,17.08397,136.42747,94.07633,-0.75269,0.36523,-1.30615
MPU1,58.13741,40.64122,100.21374,-0.44531,0.63965,-0.75562
MPU2,-9.60305,62.54962,42.19847,-0.44409,0.42603,-0.79761
MPU1,2.12214,43.98473,52.44275,-0.37280,0.59570,-0.68701
MPU2,10.97710,25.86259,1.14504,-0.56860,0.39038,-1.01294
MPU1,7.64885,6.96183,-21.92366,-0.30005,0.60889,-0.68994
MPU2,14.96183,-28.93130,-26.22901,-0.48462,0.36011,-0.86719
MPU1,9.11450,-1.40458,-19.87786,-0.55859,0.56958,-0.63452
MPU2,9.23664,-23.29771,-21.05343,-0.50684,0.27441,-0.89502
MPU1,5.40458,-49.80153,-61.81680,-0.49219,0.52832,-0.64966
MPU2,9.23664,-86.38168,-39.20611,-0.57373,0.29053,-0.85303
MPU1,1.26718,-106.53435,-85.93893,-0.72656,0.49658,-0.56079
MPU2,13.64886,-143.09924,-43.96947,-0.68604,0.26978,-0.87256
MPU1,-14.24428,-175.95419,-133.46565,-0.84009,0.46997,-0.52466
MPU2,16.04580,-265.06870,-59.84733,-0.91919,0.27197,-0.96387
MPU1,-45.20611,-294.82443,-197.11450,-1.08130,0.44946,-0.46582
MPU2,-7.52672,-352.24426,-67.52672,-0.88379,0.23169,-0.65405
MPU1,-78.24428,-346.88550,-184.93130,-1.25269,0.34497,-0.17822
MPU2,-30.33588,-414.99237,-51.31298,-0.90625,0.15649,-0.49561
MPU1,-73.51145,-335.08398,-160.13741,-0.97119,0.15186,0.05420
MPU2,-26.12214,-346.32062,-44.67176,-0.83228,0.12354,0.01904
MPU1,-63.66412,-305.72519,-155.60306,-0.85083,-0.07593,0.43677
MPU2,-20.10687,-410.22900,-40.04580,-0.88281,-0.02441,0.10645
MPU1,-25.46565,-417.75574,-212.13741,-0.77808,-0.27466,0.75244
MPU2,-7.86260,-441.51144,-61.49618,-0.36230,0.02319,0.50293
MPU1,-31.84733,-299.16031,-109.72519,-0.38184,-0.11133,0.51367
MPU2,-3.58779,-155.72519,-1.83206,0.05859,-0.04712,0.99146
MPU1,-6.33588,-64.19847,-8.13740,0.02173,-0.33740,0.75537
MPU2,-2.71756,-77.60305,7.92366,-0.28369,-0.02588,0.93213
MPU1,-5.54198,-79.03817,0.68702,-0.17505,-0.32715,0.89478
MPU2,3.96947,-27.81679,19.75573,-0.11182,-0.02124,0.93701
MPU1,6.70229,-44.27481,9.66412,0.09351,-0.38452,0.88501
MPU2,2.01527,-43.05344,14.06107,-0.13062,0.03613,0.93164
MPU1,-0.74809,-7.83206,37.09924,0.14673,-0.29321,0.79639
MPU2,3.22137,31.43511,25.05343,0.05542,-0.03125,0.95312
MPU1,27.16031,19.74046,10.70229,0.29297,-0.49512,1.01099
MPU2,8.87023,-13.93893,-2.50382,-0.10352,0.01196,1.02637
MPU1,10.64122,-35.54198,-19.78626,0.03833,-0.45215,1.04932
MPU2,21.84733,32.22901,-10.77863,0.04590,-0.03906,1.00830
MPU1,85.35878,149.92366,30.97710,0.45093,-0.48779,0.89966
MPU2,42.99237,188.32062,22.58015,0.19556,-0.00415,1.12158
MPU1,25.25191,198.03053,24.88550,0.31396,-0.26782,0.70605
MPU2,27.20611,304.87024,-32.24427,0.14941,0.05103,0.95898
MPU1,130.48856,466.03055,159.31297,0.06836,-0.33813,0.78125
MPU2,94.47328,500.25955,-9.08397,-0.09888,0.15356,0.76196
MPU1,144.25954,500.25955,130.74809,0.08936,0.02734,-0.15601
MPU2,61.03817,500.25955,-39.52672,-0.07422,0.02563,-0.07397
MPU1,87.89313,500.25955,90.10687,-0.79272,0.27075,-0.56470
MPU2,5.74046,449.98474,-48.74809,-0.78857,-0.02783,-0.71265
MPU1,22.03053,291.93893,30.94657,-1.49341,0.41577,-0.66187
MPU2,14.47328,98.65649,-42.62595,-1.25952,0.03125,-1.47388
MPU1,12.01527,-31.17557,-47.46565,-1.46289,0.13623,-0.47583
MPU2,12.22901,-60.18320,-26.58015,-1.03369,0.00562,-0.99341
MPU1,-13.86260,-4.12214,-17.80153,-1.06885,0.34204,-0.71899
MPU2,-16.67175,-0.10687,-4.73282,-0.92896,0.05469,-0.57471
MPU1,-19.54198,-37.69466,-14.13740,-1.18066,0.10303,-0.26587
MPU2,0.10687,-93.34351,0.96183,-1.02441,-0.02148,-0.70215
MPU1,-6.50382,-73.45038,-17.32825,-1.06763,0.20874,-0.38257
MPU2,-20.06107,-45.34351,8.36641,-0.85645,0.04761,-0.29639
MPU1,-22.61069,-28.21374,-2.36641,-0.90015,0.10742,-0.34961
MPU2,-9.06870,-47.81680,0.48855,-0.94458,-0.00269,-0.52026
MPU1,-11.32824,-50.65649,-12.73282,-1.01685,0.12378,-0.22217
MPU2,-19.61832,-46.73283,8.96183,-0.85547,0.00684,-0.31787
MPU1,-25.19084,-55.98473,-13.81679,-0.94702,0.07935,-0.22876
MPU2,-20.56489,-54.45802,1.06870,-0.95117,0.01660,-0.38501
MPU1,-20.71756,-68.61069,-22.99237,-1.02466,0.06909,-0.16357
MPU2,-15.00763,-156.24428,1.64885,-1.11133,0.02661,-0.49731
MPU1,-41.31298,-187.70993,-51.67939,-1.14941,0.16284,-0.16089
MPU2,-31.98473,-177.58778,19.77099,-0.87207,-0.00342,-0.07324
MPU1,-47.49618,-239.69466,-66.45802,-1.07812,-0.08032,0.17480
MPU2,-32.80916,-301.95419,-0.09160,-1.07471,0.03687,-0.13599
MPU1,-23.09924,-279.46564,-76.54962,-0.94189,-0.04932,0.25415
MPU2,-13.83206,-301.64886,12.80916,-0.79321,0.00122,0.22534
MPU1,-27.95420,-339.58780,-99.54198,-0.90845,-0.14453,0.57227
MPU2,-28.16794,-254.00000,-0.70229,-0.47388,0.06323,0.68359
MPU1,-47.95420,-147.63359,-5.92366,-0.28809,-0.08179,0.39282
MPU2,-22.03053,-61.17557,14.18321,-0.42188,0.06689,0.73242
MPU1,-19.95420,-27.58779,24.64122,-0.35327,-0.28784,0.79565
MPU2,-10.19847,-17.51145,14.13740,-0.55054,0.07544,0.74243
MPU1,-37.17557,-40.76336,20.33588,-0.44238,-0.18896,0.80273
MPU2,-25.81679,-42.62595,9.67939,-0.56396,0.06616,0.75317
MPU1,-25.74046,-39.34351,-2.59542,-0.25830,-0.29785,0.88330
MPU2,-1.80153,-20.65649,-7.29771,-0.43311,0.04639,0.79443
