sensor,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
MPU2,297.08398,-15.43511,104.82442,-0.40186,-0.83862,0.82983
MPU1,250.12978,-140.19084,137.56488,-0.90820,-1.40552,0.29419
MPU2,313.41986,-42.85496,105.45038,-0.25952,-0.49048,0.67944
MPU1,250.12978,-95.70992,148.46565,-0.45898,-0.94214,-0.01709
MPU2,304.47330,2.85496,105.66412,-0.12329,-0.29370,0.30737
MPU1,250.12978,-112.61069,149.67175,-0.26465,-0.59204,-0.05884
MPU2,265.02289,-8.90076,92.83969,-0.07031,0.04907,0.15356
MPU1,223.35878,-51.29008,150.06870,0.05908,-0.06787,-0.25366
MPU2,205.31297,51.06870,84.74809,0.01147,0.30518,0.03223
MPU1,180.24428,-16.15267,144.39694,0.19312,0.30444,-0.17236
MPU2,127.03817,29.90840,63.96947,-0.04590,0.63672,-0.33838
MPU1,72.83969,-35.70229,56.65649,0.48120,0.87402,-0.35449
MPU2,-2.13740,11.95420,18.76336,0.21729,0.79199,-0.26855
MPU1,-73.99236,43.45038,-14.73282,0.72363,1.05249,-0.43994
MPU2,-109.41985,24.03053,-35.16031,0.22534,0.77246,-0.23218
MPU1,-151.98473,44.86259,-87.11450,0.36841,0.60547,0.06470
MPU2,-171.67938,4.96183,-70.65649,0.13281,0.64355,-0.04907
MPU1,-202.69466,101.76336,-119.68702,0.27710,0.37695,-0.00806
MPU2,-229.02290,-9.12977,-96.06107,-0.07935,0.47852,0.34863
MPU1,-189.14503,102.19847,-107.69466,-0.39233,-0.24170,0.47998
MPU2,-239.02290,45.58779,-98.12214,-0.14795,0.23022,0.48120
MPU1,-250.13741,20.40458,-166.51144,-0.76562,-0.49268,0.53540
MPU2,-221.20610,-90.59542,-69.40458,-0.41284,-0.10547,0.45581
MPU1,-179.19084,80.11450,-94.38931,-0.47925,-0.49268,0.28125
MPU2,-240.80916,-25.70992,-59.48092,-0.29102,-0.17310,1.09180
MPU1,-172.14503,20.19084,-108.69466,-0.77222,-1.05664,0.81592
MPU2,-208.67175,31.86259,-41.46565,-0.20093,-0.35645,0.99341
MPU1,-200.04581,46.74809,-93.86259,-0.80347,-0.91406,0.42041
MPU2,-199.46565,-60.77863,-36.80916,-0.38818,-0.42188,0.75586
MPU1,-148.21375,42.76336,-90.70229,-0.39209,-0.82178,0.25586
MPU2,-208.76335,27.95420,-38.85496,0.01782,-0.57690,1.09277
MPU1,-151.78625,65.26717,-55.45802,-0.61523,-1.37622,0.61230
MPU2,-155.64885,-44.74809,-52.56488,-0.29321,-0.73877,0.69629
MPU1,-97.59542,13.73282,-100.03817,-0.36548,-1.04175,0.18164
MPU2,-154.35115,43.86259,-37.35878,-0.01538,-1.06445,1.26440
MPU1,-83.90076,70.54962,-20.80916,-0.92578,-1.74585,0.66016
MPU2,-45.19084,1.00763,-34.82443,-0.24561,-1.19800,1.25854
MPU1,9.80916,11.16031,-25.99237,-0.82202,-1.57715,0.78589
MPU2,39.14504,80.48855,-8.94656,0.03223,-1.18970,1.46240
MPU1,88.44275,73.86259,79.41985,-0.88184,-1.65991,0.89209
MPU2,120.96183,54.24427,11.14504,-0.30151,-1.07129,1.34082
MPU1,138.29771,-23.53435,52.87023,-1.02295,-1.68799,0.94775
MPU2,201.37404,18.16794,37.55725,-0.35767,-1.07007,1.51392
MPU1,193.90840,-28.08397,99.84733,-1.01050,-1.59668,0.74756
MPU2,247.72519,35.83206,68.71756,-0.35278,-0.92041,1.37646
MPU1,195.92366,-66.33588,124.13741,-1.08667,-1.51294,0.59766
MPU2,287.52670,13.05344,104.79389,-0.44678,-0.77295,1.03271
MPU1,237.09924,-99.80153,148.64885,-0.97217,-1.26025,0.27881
MPU2,277.52670,-14.09160,124.06107,-0.38525,-0.45679,0.91748
MPU1,202.59541,-117.38931,149.67175,-0.64673,-0.91992,0.14624
MPU2,259.51144,-29.05343,126.73283,-0.28247,-0.20386,0.59058
MPU1,201.14503,-127.71756,133.90840,-0.40796,-0.62915,0.15869
MPU2,226.58015,-35.58779,108.90076,-0.11597,0.05933,0.54443
MPU1,182.36641,-98.05344,113.04580,-0.13794,-0.33691,0.17114
MPU2,201.19084,-10.36641,84.32061,-0.12427,0.14038,0.47778
MPU1,170.64885,-54.38168,119.22900,-0.22217,-0.16699,0.21826
MPU2,173.95419,30.27481,77.03817,-0.05420,0.32935,0.23462
MPU1,131.47328,-48.51145,93.15267,-0.00659,0.20898,0.14868
MPU2,126.83969,-1.92366,67.45038,0.03345,0.48877,0.09912
MPU1,92.88550,-27.20611,86.51908,0.08447,0.48022,0.14819
MPU2,74.85497,34.41221,54.04580,0.17041,0.69434,-0.13940
MPU1,36.24427,-11.78626,47.77099,0.38062,0.78491,0.03345
MPU2,-8.65649,-11.55725,26.33588,0.17480,0.78003,-0.24561
MPU1,-54.63359,-6.50382,-28.70229,0.54639,0.94531,-0.08179
MPU2,-96.50381,1.92366,-12.10687,0.32202,0.81055,-0.21411
MPU1,-108.06870,38.23664,-48.06870,0.41357,0.74268,0.12329
MPU2,-162.25954,-5.20611,-44.99237,0.19995,0.73584,-0.08203
MPU1,-183.83206,33.74046,-122.32825,0.35083,0.41553,0.17358
MPU2,-210.85497,19.96947,-68.18320,0.26245,0.52002,0.12036
MPU1,-193.75572,90.02290,-110.16031,0.12842,0.05786,0.17993
MPU2,-238.73282,-12.62595,-88.62595,-0.06128,0.35986,0.33911
MPU1,-191.00000,101.16031,-108.27481,-0.21729,-0.21899,0.28955
MPU2,-255.14503,88.12214,-93.16031,-0.00244,0.12036,0.60352
MPU1,-223.91603,110.88550,-132.66412,-0.56079,-0.65088,0.44189
MPU2,-252.90076,25.69466,-89.37405,-0.23779,-0.09741,0.51489
MPU1,-189.92366,101.29008,-100.15267,-0.65942,-0.81128,0.26953
MPU2,-249.37404,27.34351,-79.14503,-0.33521,-0.33740,0.84448
