sensor,gyro_x,gyro_y,gyro_z,acce_x,acce_y,acce_z
MPU1,-242.19847,28.44275,-39.64885,-0.08667,-0.98535,0.33813
MPU2,0.13740,5.29771,3.40458,0.15063,0.07642,0.87402
MPU1,-180.39694,24.59542,-30.12214,-0.03320,-1.02051,0.16895
MPU2,-6.27481,-4.94656,-4.18321,0.13208,0.14380,0.98242
MPU1,-120.19847,-0.53435,-15.64886,-0.11719,-1.10620,0.01270
MPU2,11.74046,-0.22901,4.68702,0.13257,0.09302,0.92700
MPU1,-128.16794,13.70992,-11.08397,0.05688,-1.01514,-0.05786
MPU2,-2.96183,0.67176,-1.41985,0.13965,0.15649,0.92896
MPU1,-88.97710,1.09924,-4.70229,-0.11157,-1.04834,-0.21997
MPU2,2.10687,0.59542,2.85496,0.11816,0.12622,0.94385
MPU1,-96.85497,23.78626,-3.77099,0.04858,-0.83447,-0.32910
MPU2,-0.41221,2.12214,-0.44275,0.16821,0.11523,0.93604
MPU1,-31.63359,-0.87023,2.71756,-0.07202,-1.05347,-0.35132
MPU2,1.35878,-0.09160,2.41221,0.10620,0.15942,0.98096
MPU1,-70.99236,17.66412,2.01527,0.04321,-0.85278,-0.40820
MPU2,2.33588,6.42748,-0.65649,0.17627,0.10425,0.89331
MPU1,12.70229,-6.94656,0.47328,-0.03662,-1.01245,-0.41675
MPU2,-0.39695,-1.46565,0.21374,0.12183,0.14380,0.99316
MPU1,-12.85496,7.26718,0.00000,0.02417,-0.84351,-0.44336
MPU2,1.34351,-6.00000,0.51908,0.16455,0.09717,0.88867
MPU1,101.12977,-16.48855,7.84733,-0.02979,-1.00854,-0.41406
MPU2,-3.49618,-25.03817,6.56489,0.13037,0.12109,0.95215
MPU1,273.78625,-40.90076,0.97710,0.04175,-0.83008,-0.33716
MPU2,-21.52672,-41.72519,-10.87023,0.12329,0.21240,0.91479
MPU1,421.12976,-41.81680,56.74809,-0.15234,-1.16895,-0.06470
MPU2,-4.07634,15.96947,4.77863,0.24023,0.06104,0.92920
MPU1,206.04581,2.18321,34.62595,0.12280,-0.74341,-0.01929
MPU2,-0.65649,-21.29771,-8.35114,0.10938,0.13232,0.93579
MPU1,141.96947,-12.74809,20.35114,-0.13818,-0.92944,0.55200
MPU2,8.03053,1.22137,-0.38168,0.22974,0.08716,0.90747
MPU1,103.67939,14.80916,26.36641,-0.06079,-0.73462,0.50879
MPU2,-4.01527,-0.39695,-4.29008,0.18921,0.16162,0.98901
MPU1,152.42747,4.00000,27.83206,-0.12134,-0.85229,0.87695
MPU2,12.76336,6.56489,2.80916,0.24805,0.05054,0.98267
MPU1,90.42748,-7.46565,22.03053,-0.08008,-0.51904,0.54736
MPU2,15.20611,-15.35878,2.15267,0.14673,0.15039,0.91528
MPU1,180.51909,-10.04580,30.90076,-0.17383,-0.61108,0.90967
MPU2,14.94656,-1.17557,-1.17557,0.21802,0.15356,0.88525
MPU1,118.04580,-9.11450,24.96183,-0.13354,-0.34717,0.74316
MPU2,-4.91603,-7.02290,-3.38931,0.19727,0.15356,0.93115
MPU1,52.44275,6.73282,23.25191,-0.23950,-0.39331,0.96167
MPU2,-0.68702,1.60305,1.96947,0.16431,0.12866,0.96021
MPU1,-19.05343,5.93893,-1.03817,-0.13721,-0.22827,0.80176
MPU2,-2.82443,-6.04580,-1.67939,0.18579,0.13452,0.94897
MPU1,-147.61832,-1.60305,-37.09924,-0.22900,-0.37695,0.90601
MPU2,9.46565,-1.40458,2.33588,0.20288,0.10352,0.92114
MPU1,-301.41986,10.64122,-74.91603,-0.10498,-0.60156,0.71533
MPU2,-2.74809,16.35114,-1.96947,0.20312,0.18652,0.96606
MPU1,-342.04581,-8.24428,-73.77100,-0.12329,-0.51392,0.29956
MPU2,-15.46565,12.77863,2.10687,0.21021,0.11768,0.87744
MPU1,-209.72519,5.34351,-44.68702,-0.13770,-1.08936,0.32544
MPU2,-9.23664,11.64886,-0.56489,0.15747,0.16675,0.99072
MPU1,-177.60306,10.35114,-31.78626,-0.05200,-0.96509,0.23682
MPU2,1.16031,1.20611,1.86260,0.19824,0.11230,0.93823
MPU1,-184.91603,-3.06870,-27.19084,-0.02490,-0.94043,-0.13892
MPU2,1.64885,3.92366,-1.84733,0.15503,0.14209,1.02002
MPU1,-113.61832,14.45802,-12.10687,0.01514,-1.10229,-0.00562
MPU2,0.39695,3.14504,-0.03053,0.18970,0.13647,0.92261
MPU1,-111.75572,10.18321,-7.23664,0.00366,-1.00659,-0.20605
MPU2,-6.82443,0.41221,-5.61832,0.13135,0.13867,0.94189
MPU1,-80.73283,14.03053,-8.77863,-0.02881,-0.96362,-0.40063
MPU2,-0.54962,1.77099,-0.21374,0.16187,0.12817,0.93579
MPU1,-114.10687,22.13741,-7.81679,0.10986,-0.74463,-0.50659
MPU2,-7.25191,4.85496,-2.07634,0.14941,0.13770,0.94067
MPU1,-70.51908,14.13740,-0.73282,0.04980,-0.93408,-0.58350
MPU2,-10.87023,47.67939,-3.06870,0.13403,0.14624,1.06689
MPU1,-71.16031,20.65649,0.71756,0.04639,-0.89136,-0.51855
MPU2,-7.86260,26.70229,0.29008,0.10498,0.08252,0.89941
MPU1,-54.65649,12.41221,-1.55725,0.03345,-0.84570,-0.59985
MPU2,-9.60305,18.19847,-1.83206,0.04834,0.10815,0.92358
MPU1,-40.09160,10.79389,0.68702,-0.01880,-0.82520,-0.69678
MPU2,-0.70229,-8.44275,6.48855,0.02954,0.07568,0.90112
MPU1,147.03816,-34.76336,-5.69466,-0.04004,-0.95264,-0.63501
MPU2,-10.87023,-119.67939,11.00763,-0.00830,0.10059,0.78394
MPU1,68.82442,6.36641,11.40458,0.16602,-0.89575,-0.42969
MPU2,-11.43511,-55.80153,-17.83206,0.10889,0.14233,0.85132
MPU1,442.41220,-39.35878,46.04580,-0.15088,-1.53101,-0.22729
MPU2,-8.41221,-24.97710,3.45038,0.21118,0.10327,0.97705
MPU1,423.28244,-51.86259,58.21374,-0.16260,-0.72852,-0.06274
MPU2,-11.67939,-1.54198,-0.53435,0.17432,0.10278,1.02295
MPU1,368.44275,-73.67939,60.27481,-0.21021,-1.02686,0.12988
MPU2,7.31298,-4.04580,5.06870,0.14941,0.07129,0.93848
MPU1,138.16794,-39.89313,29.74046,-0.00903,-0.73901,0.35449
MPU2,5.37405,-7.55725,0.94656,0.19751,0.09375,0.99268
MPU1,193.83206,-26.06107,38.18320,-0.07617,-0.87402,0.72217
MPU2,26.48855,8.59542,1.75573,0.22827,0.09863,0.96094
MPU1,69.05344,7.11450,23.98473,0.01440,-0.53442,0.49512
MPU2,7.64885,4.27481,-2.54962,0.19849,0.11523,0.89233
MPU1,155.83206,-11.58779,29.09924,-0.10938,-0.58618,0.77026
MPU2,-3.81679,-3.80153,0.19847,0.15747,0.16919,0.96313
MPU1,70.45802,-13.89313,16.18321,-0.03760,-0.34180,0.67310
MPU2,-5.23664,0.71756,-1.16031,0.22070,0.11426,0.86353
MPU1,108.21374,-6.19847,18.87023,-0.16138,-0.46729,1.02173
MPU2,-10.06107,-4.21374,-0.59542,0.17188,0.15308,1.00928
MPU1,39.63359,-21.32825,-2.64122,-0.05542,-0.28296,0.84863
MPU2,0.18321,1.34351,1.28244,0.26855,0.08813,0.89966
MPU1,67.46565,-21.63359,15.14504,-0.13965,-0.31177,0.98145
MPU2,-10.29008,-6.93130,-0.51908,0.17090,0.15454,0.95605
MPU1,-37.05344,-6.51908,-9.57252,-0.01636,-0.15063,0.77075
MPU2,-15.83206,3.19084,-2.99237,0.25171,0.13086,0.93262
MPU1,-53.40458,13.11450,-6.13740,-0.10498,-0.26904,0.96948
MPU2,-21.95420,7.61832,-2.48855,0.18164,0.13770,0.95605
MPU1,-168.76335,36.19847,-32.12214,-0.18750,-0.36304,1.00708
MPU2,-3.08397,-2.73282,-0.76336,0.12207,0.09668,0.94897
MPU1,-158.16794,23.40458,-34.64122,-0.08472,-0.48779,0.82739
MPU2,-8.65649,6.59542,-0.29008,0.20483,0.10229,0.98242
MPU1,-159.17557,32.06107,-21.03817,-0.19727,-0.71704,0.79053
MPU2,-10.54962,5.03817,2.85496,0.16504,0.09058,0.97925
MPU1,-207.52672,16.96183,-41.41985,-0.08081,-0.75732,0.61987
MPU2,1.46565,3.74046,2.21374,0.19507,0.08252,0.91748
MPU1,-211.02290,32.94656,-39.00763,-0.01416,-0.81323,0.44189
MPU2,-11.66412,4.19847,-4.07634,0.19434,0.13330,0.98657
MPU1,-218.45801,24.44275,-42.51908,-0.15259,-1.10449,0.37695
MPU2,5.83206,4.48855,1.09924,0.16211,0.07080,0.94580
MPU1,-288.87024,24.12214,-62.51908,0.09009,-0.73975,-0.03149
MPU2,-9.74046,2.76336,-5.22137,0.14966,0.10913,0.94873
MPU1,-197.52672,15.64886,-31.06870,-0.15186,-1.30176,-0.04468
MPU2,-4.35115,22.25954,1.11450,0.19043,0.06860,1.09766
MPU1,-189.57253,9.32824,-23.63359,0.03101,-0.95752,-0.24780
MPU2,9.06870,5.28244,1.45038,0.15161,0.08276,0.91504
MPU1,-159.29771,-13.49618,-16.80916,-0.03613,-1.00195,-0.49316
MPU2,3.00763,3.49618,0.45802,0.11865,0.15405,1.03906
MPU1,-126.54962,10.83969,-4.12214,0.06152,-0.84985,-0.46021
MPU2,-2.87023,41.00763,7.74046,0.16138,0.02783,0.90552
MPU1,-2.99237,-7.89313,-3.60305,0.06763,-0.91040,-0.57788
MPU2,-6.45802,-26.03053,5.54198,0.04907,0.08081,0.86938
MPU1,211.93893,-26.36641,-0.91603,-0.01245,-1.00146,-0.47754
MPU2,-18.45802,-33.63359,3.93893,0.16406,0.07520,1.05859
MPU1,370.56488,-17.05343,45.93893,0.06616,-0.94312,-0.37769
MPU2,-14.06107,-30.65649,6.45802,0.16919,0.07935,0.87378
MPU1,500.25955,-114.93130,87.51145,-0.07471,-1.22168,-0.04492
MPU2,6.15267,-0.54962,6.35115,0.15137,0.08813,0.96094
MPU1,165.69466,-19.25191,26.41221,0.19336,-0.57642,-0.09033
MPU2,6.15267,-16.91603,0.45802,0.19336,0.03760,0.87305
MPU1,136.91603,-18.15267,34.90076,-0.11670,-0.98828,0.61694
MPU2,10.27481,-4.65649,2.27481,0.16724,0.07373,0.99219
MPU1,76.61069,-6.41221,13.90840,0.06519,-0.63330,0.38770
MPU2,-0.04580,0.41221,-1.84733,0.20801,0.07642,0.93311
MPU1,145.46565,-18.22901,33.51145,-0.06934,-0.76440,0.75757
MPU2,12.24428,3.61832,1.37405,0.16968,0.10278,0.98853
MPU1,126.10687,-10.21374,21.20611,0.03149,-0.48389,0.57812
MPU2,-1.08397,-16.58015,-4.10687,0.20728,0.08447,0.89795
MPU1,89.26717,12.54962,27.32825,-0.09937,-0.54590,0.86035
MPU2,-2.76336,3.40458,0.47328,0.15942,0.07153,0.95898
MPU1,113.80153,-17.35878,12.07634,-0.14624,-0.43311,0.89478
MPU2,-8.62595,-1.46565,-8.35114,0.18579,0.14673,1.00122
MPU1,64.38168,-5.75573,1.84733,-0.10083,-0.40381,0.98560
MPU2,4.39695,0.51908,0.47328,0.23560,0.08545,1.04053
MPU1,18.53435,12.83969,3.32824,-0.08716,-0.28760,0.87500
MPU2,-0.62595,-1.66412,0.12214,0.18237,0.10303,0.96313
MPU1,-12.64122,11.54198,10.45802,-0.15991,-0.28638,0.91333
MPU2,3.12977,-2.13740,1.31298,0.17261,0.08789,0.95264
MPU1,-278.36642,84.94656,-71.08397,0.23511,-0.07812,0.49194
MPU2,-11.69466,-3.03817,-4.44275,0.22339,0.10278,0.87695
MPU1,-333.23663,12.87023,-75.17558,-0.27905,-0.58472,0.76074
MPU2,-29.77099,7.67939,-5.74046,0.13184,0.09741,0.94531
MPU1,-244.59541,37.00763,-48.91603,-0.06787,-1.07739,0.81104
MPU2,-7.23664,22.64122,-2.10687,0.20947,0.05371,0.93530
MPU1,-196.24428,19.12977,-30.97710,-0.02563,-0.86011,0.28589
MPU2,-7.26718,3.41985,-3.03817,0.14624,0.08911,0.97998
MPU1,-147.52672,18.12214,-24.50382,-0.15259,-1.06958,0.26147
MPU2,5.84733,1.08397,1.61832,0.17285,0.03735,0.94067
MPU1,-195.83206,17.35878,-26.79389,-0.01196,-0.92432,0.02808
MPU2,-4.94656,5.34351,-4.71756,0.14160,0.10718,1.15112
MPU1,-134.77863,1.70992,-24.06107,-0.09058,-0.97095,-0.07349
MPU2,-7.46565,1.16031,3.05344,0.16455,0.08691,0.94604
MPU1,-169.74046,4.25954,-31.19084,-0.00513,-1.14136,-0.19263
MPU2,-3.81679,3.19084,-2.64122,0.09937,0.07129,0.96948
MPU1,-163.41985,4.47328,-17.03817,-0.00488,-1.01514,-0.43091
MPU2,3.11450,2.36641,0.91603,0.10986,0.05273,0.97192
MPU1,-137.57253,6.51908,-7.63359,-0.00269,-1.00342,-0.44751
MPU2,9.64886,3.64885,-0.45802,0.13965,0.04932,0.92603
MPU1,-112.03053,1.05344,7.80153,0.08765,-0.67944,-0.65015
MPU2,-8.73282,47.55725,-2.96183,0.09595,0.10352,0.93262
MPU1,-104.00000,11.89313,8.56489,0.01147,-0.85034,-0.73267
MPU2,-3.52672,41.70992,1.83206,0.02417,0.04785,0.92578
MPU1,-11.83206,4.38168,4.74809,0.03882,-0.67383,-0.73608
MPU2,-3.26718,-1.38931,-6.06107,-0.04443,0.14185,0.87744
MPU1,24.42748,6.77863,-2.93130,-0.01270,-0.75098,-0.77783
MPU2,5.60305,-34.36641,7.67939,0.04419,0.00830,0.84399
MPU1,276.07632,-21.74046,-6.10687,-0.02734,-1.02490,-0.71680
MPU2,0.27481,-67.49619,6.94656,0.09033,0.16333,1.04883
MPU1,222.85497,16.36641,36.48855,0.18970,-0.78687,-0.51685
MPU2,-5.77099,-33.86259,-3.02290,0.13843,0.05835,0.83423
MPU1,491.52670,-61.08397,61.45038,-0.13306,-1.31372,-0.22021
MPU2,1.55725,-18.82443,3.09924,0.13843,0.10059,0.95215
MPU1,155.29771,-24.30534,21.89313,0.07300,-0.57056,-0.29248
MPU2,1.41985,4.54962,1.90840,0.23340,0.03369,0.92090
MPU1,255.46565,-56.67176,33.70992,-0.16724,-1.21924,0.25684
MPU2,14.90076,-7.25191,7.61832,0.16992,0.06226,0.98047
MPU1,122.90076,-1.26718,24.03053,0.08032,-0.71484,0.11182
MPU2,8.87023,-14.90076,-2.87023,0.18164,0.10010,0.95020
MPU1,154.04581,-11.38931,40.10687,-0.20605,-1.01538,0.61914
MPU2,22.77863,3.95420,4.33588,0.20581,0.05322,1.03027
MPU1,198.73282,-25.25191,45.55725,-0.01099,-0.67822,0.53467
MPU2,2.12214,-6.15267,0.38168,0.18604,0.12964,0.99805
MPU1,128.38168,-6.70229,34.67176,-0.13452,-0.70483,0.74951
MPU2,7.23664,1.83206,2.64122,0.18408,0.10107,0.97852
MPU1,131.22137,-2.50382,36.53435,-0.08862,-0.50537,0.71021
MPU2,3.74046,-2.76336,-0.83969,0.20898,0.13501,0.95972
MPU1,66.90076,-0.30534,14.87023,-0.12207,-0.47095,0.90088
MPU2,2.18321,-1.77099,-0.83969,0.17505,0.13477,0.98145
MPU1,37.12977,-1.96947,10.58015,-0.13965,-0.35596,0.83228
MPU2,-4.30534,-1.43511,0.25954,0.19824,0.14795,0.95776
MPU1,-18.61069,4.90076,6.15267,-0.23706,-0.43677,0.98877
MPU2,3.38931,-4.24427,1.78626,0.17334,0.13428,0.95166
MPU1,-179.06870,21.37405,-39.92366,-0.06030,-0.35547,0.70483
MPU2,-4.56489,1.12977,-1.25191,0.19385,0.13525,0.90625
MPU1,-138.45801,15.54198,-28.00000,-0.19360,-0.61401,0.80664
MPU2,-7.28244,2.85496,1.31298,0.18506,0.12524,0.95142
MPU1,-149.12978,5.22137,-40.94656,-0.10986,-0.72778,0.72119
MPU2,-11.57252,1.29771,-3.26718,0.19312,0.13818,0.95190
MPU1,-114.38168,18.22901,-21.48092,-0.17310,-0.94067,0.72681
MPU2,-6.64122,4.30534,-2.96183,0.20117,0.11841,1.00317
MPU1,-180.53435,7.09924,-37.80153,-0.03223,-0.76733,0.34839
MPU2,-4.27481,5.37405,-1.08397,0.19922,0.09302,0.90479
MPU1,-107.67939,12.59542,-22.10687,-0.12549,-0.97144,0.35254
MPU2,-7.16031,7.46565,-4.13740,0.15576,0.14136,0.97534
MPU1,-163.35878,14.94656,-27.00763,-0.05884,-0.94629,0.19556
